"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some high school","standard","none","67","65","69"
"female","group D","high school","standard","completed","66","75","78"
"female","group E","high school","standard","none","76","74","75"
"male","group C","high school","standard","completed","70","76","67"
"male","group C","associate's degree","standard","none","56","49","49"
"female","group D","associate's degree","standard","completed","80","91","89"
"male","group D","high school","standard","none","53","55","55"
"female","group E","some high school","free/reduced","completed","79","88","84"
"female","group D","associate's degree","free/reduced","completed","69","70","73"
"female","group D","some college","standard","none","55","66","74"
"female","group D","some high school","free/reduced","none","51","46","54"
"female","group B","high school","free/reduced","none","62","75","66"
"male","group C","some college","standard","completed","66","53","51"
"female","group B","some college","standard","none","62","75","72"
"male","group C","high school","standard","none","71","71","61"
"female","group B","some college","standard","none","74","82","75"
"female","group E","some college","free/reduced","none","65","57","62"
"male","group E","some college","standard","completed","79","77","76"
"female","group C","associate's degree","standard","none","79","82","80"
"female","group E","high school","standard","none","96","89","88"
"male","group B","some high school","free/reduced","none","53","52","48"
"male","group E","master's degree","free/reduced","completed","66","77","73"
"male","group C","some high school","standard","completed","64","59","54"
"male","group C","some high school","standard","none","77","75","66"
"male","group E","high school","standard","none","95","68","65"
"male","group D","master's degree","standard","completed","75","72","73"
"male","group D","associate's degree","standard","none","79","59","67"
"female","group D","some high school","free/reduced","none","54","60","57"
"female","group E","some college","free/reduced","none","59","72","67"
"male","group D","some high school","free/reduced","none","54","52","45"
"female","group E","bachelor's degree","free/reduced","none","79","91","88"
"male","group B","bachelor's degree","standard","completed","79","69","77"
"female","group C","associate's degree","standard","none","65","80","75"
"male","group D","high school","standard","completed","65","62","50"
"female","group C","some high school","free/reduced","completed","64","74","78"
"male","group D","high school","standard","none","63","47","48"
"male","group B","associate's degree","standard","none","78","74","71"
"female","group C","associate's degree","standard","none","63","81","71"
"male","group C","associate's degree","free/reduced","completed","55","49","57"
"male","group B","some college","standard","none","55","51","51"
"male","group C","bachelor's degree","standard","none","53","46","43"
"male","group A","some high school","standard","none","65","67","61"
"male","group D","high school","standard","completed","78","83","81"
"female","group C","master's degree","free/reduced","none","70","71","77"
"male","group A","associate's degree","standard","none","84","86","83"
"male","group C","some high school","free/reduced","none","44","53","47"
"female","group D","high school","standard","completed","64","78","81"
"male","group A","master's degree","standard","completed","69","69","70"
"male","group C","associate's degree","free/reduced","none","64","57","56"
"female","group C","associate's degree","standard","none","52","67","63"
"female","group A","some college","standard","completed","77","91","100"
"female","group D","high school","free/reduced","none","63","72","69"
"female","group D","some college","standard","none","62","74","74"
"male","group C","master's degree","standard","none","85","72","73"
"male","group D","some high school","free/reduced","none","84","78","71"
"female","group A","associate's degree","standard","none","92","96","96"
"male","group B","some college","standard","none","58","57","57"
"female","group C","associate's degree","free/reduced","none","74","84","79"
"female","group C","master's degree","free/reduced","completed","80","100","100"
"male","group B","some college","standard","completed","87","90","84"
"male","group D","high school","standard","completed","92","75","84"
"female","group B","associate's degree","free/reduced","none","54","79","69"
"female","group D","some high school","standard","none","61","75","76"
"female","group E","some college","standard","none","98","98","99"
"male","group B","some college","standard","completed","68","65","65"
"male","group A","master's degree","standard","none","79","86","77"
"female","group E","some high school","standard","none","56","67","60"
"male","group C","some college","standard","completed","43","39","39"
"female","group B","high school","standard","completed","77","89","80"
"male","group B","some college","free/reduced","none","48","42","34"
"male","group D","some college","standard","none","65","59","53"
"female","group B","high school","free/reduced","none","41","47","44"
"male","group D","some high school","standard","none","67","59","60"
"female","group B","high school","standard","none","69","83","78"
"female","group B","associate's degree","standard","none","49","61","56"
"male","group C","some high school","free/reduced","none","45","39","39"
"female","group D","some college","standard","completed","68","79","80"
"female","group B","some college","free/reduced","none","53","63","60"
"female","group A","high school","standard","none","60","61","63"
"male","group C","master's degree","standard","completed","84","81","86"
"male","group D","high school","standard","completed","68","59","63"
"female","group B","some college","standard","none","68","74","76"
"female","group E","high school","free/reduced","none","64","64","62"
"male","group C","some high school","standard","none","61","52","46"
"male","group D","associate's degree","free/reduced","none","68","63","65"
"male","group D","high school","standard","completed","76","72","73"
"female","group E","master's degree","standard","completed","92","99","97"
"female","group D","high school","standard","none","88","100","99"
"male","group C","some college","standard","none","67","63","53"
"female","group C","some high school","standard","completed","68","74","72"
"male","group B","some high school","free/reduced","completed","65","59","67"
"female","group B","some high school","standard","none","42","61","58"
"male","group D","bachelor's degree","standard","none","76","67","66"
"male","group A","high school","free/reduced","none","79","67","68"
"male","group B","some college","standard","completed","93","93","86"
"male","group C","associate's degree","standard","none","87","92","84"
"female","group D","some high school","standard","completed","69","80","81"
"male","group C","high school","free/reduced","none","53","47","43"
"female","group B","associate's degree","free/reduced","none","58","69","65"
"female","group C","associate's degree","standard","none","64","66","63"
