FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 4 0 0 0 0 0 0
1 4 0 0 0 0 0 0
0 4 1 0 0 0 0 0
1 4 1 0 0 0 0 0
0 4 0 1 0 0 0 0
1 4 0 1 0 0 0 1
0 4 0 1 0 0 0 1
0 4 0 1 0 0 0 2
0 4 0 1 0 0 0 3
0 4 0 1 0 0 0 4
0 4 0 1 0 0 0 5
0 4 0 1 0 0 0 6
0 4 0 1 0 0 0 7
0 4 0 1 0 0 0 8
0 4 0 1 0 0 0 9
0 4 0 1 0 0 0 A
0 4 0 1 0 0 0 B
0 4 0 1 0 0 0 C
0 4 0 1 0 0 0 D
0 4 0 1 0 0 0 E
0 4 0 1 1 1 0 F
0 4 0 1 1 1 0 0x10
0 4 0 1 0 1 0 0x11
0 4 0 1 0 1 0 0x12
0 4 0 1 1 2 0 0x13
0 4 0 1 1 2 0 0x14
0 4 0 1 0 2 0 0x15
0 4 0 1 0 2 0 0x16
0 4 0 1 1 3 0 0x17
0 4 0 1 1 3 0 0x18
0 4 0 1 0 3 0 0x19
0 4 0 1 0 3 0 1A
0 4 0 1 1 4 0 1B
0 4 0 1 1 4 0 1C
0 4 0 1 0 4 0 1D
0 4 0 1 0 4 0 1E
0 4 0 1 0 4 0 1F
0 4 0 1 0 4 0 0x20
0 4 0 1 0 4 0 0x21
0 4 0 1 0 4 0 0x22
0 4 0 1 0 4 0 0x23
0 4 0 1 0 4 0 0x24
0 4 0 1 0 4 0 0x25
0 4 0 1 0 4 0 0x26
0 4 0 1 0 4 0 0x27
0 4 0 1 0 4 0 0x28
0 4 0 1 0 4 0 0x29
0 4 0 1 0 4 0 2A
0 4 0 1 0 4 0 2B
0 4 0 1 0 4 0 2C
0 4 0 1 0 4 0 2D
0 4 0 1 0 4 0 2E
0 4 0 1 0 4 0 2F
0 4 0 1 0 4 0 0x30
0 4 0 1 0 4 0 0x31
0 4 0 1 0 4 0 0x32
0 4 0 1 0 4 0 0x33
0 4 0 1 0 4 0 0x34
0 4 0 1 0 4 0 0x35
0 4 0 1 0 4 0 0x36
