id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
27934,Nice room with superb city view,120437,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,2020,3,64,1/6/2020,0.43,2,362,0
35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,14,6,5/22/2024,0.06,1,309,2
48736,Condo with Chaopraya River View,222005,Athitaya,Rat Burana,13.68556,100.49535,Private room,1653,3,1,2/3/2014,0.01,1,365,0
55681,Sathorn Terrace Apartment(61),263049,Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,34,4/17/2024,0.21,7,356,5
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,Sathon,13.71802,100.51539,Hotel room,1384,2,210,3/24/2024,1.29,7,365,2
61000,Apt.@Pinklao near shopping mall,294896,Kate,Bang Phlat,13.78085,100.47526,Entire home/apt,1102,30,2,12/19/2021,0.01,2,362,0
69046,"Cozy and spacious 1BR with great view, LT rent",272478,Jean,Chatu Chak,13.80956,100.56378,Entire home/apt,1543,90,18,5/9/2018,0.11,1,358,0
105042,Central Bangkok 3 Bedroom Apartment,545890,Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,6024,28,147,1/7/2020,0.95,1,362,0
121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,Bang Kapi,13.76747,100.63287,Private room,1190,1,6,4/15/2024,0.35,3,365,5
145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,Lat Krabang,13.721868,100.771713,Private room,1200,1,69,6/24/2024,0.59,1,363,24
156583,Studio near Chula University/Silom walk to MRT,58920,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1090,7,71,5/10/2024,0.47,2,113,6
166267,1 bed apartment near Chula Uni walk to MRT Samyan,58920,Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1290,6,78,2/5/2024,0.52,2,179,4
172332,Tranquility found in busy Bangkok near new skytran,822284,Rae And Charlie,Bang Sue,13.83148,100.52102,Entire home/apt,1050,3,25,3/8/2024,0.18,7,176,2
320014,2-BR condo near BTS on Sukhumvit Rd,843854,Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1837,30,71,3/24/2024,0.47,1,137,1
384924,Oasis in the heart of Bangkok,1667508,Siriwipa,Ratchathewi,13.74902,100.55652,Entire home/apt,918,90,95,1/31/2023,0.66,1,191,0
385130,City Center | Subway | Private Bath | AC,1927968,Evan,Sathon,13.720548,100.54697,Entire home/apt,875,1,426,3/25/2024,2.85,49,325,17
385979,Monthly rent 2Beds/2Baths quiet APT at BTS,1681901,Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,81,4/7/2023,0.55,2,365,0
390611,Sukhumvit apartment near Nana BTS,807406,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,960,2,208,6/11/2024,1.4,1,189,17
393066,✺✺99 feet in the sky✺✺,1927968,Evan,Sathon,13.720785,100.547241,Entire home/apt,632,1,466,6/1/2024,3.21,49,365,15
397449,Cozy Studio Apt near Skytrain.(72/74),263049,Tor,Sathon,13.71782,100.51622,Private room,1100,1,44,5/6/2024,0.3,7,365,4
405662,"Asoke: tasteful, modern 1BR condo",1425515,Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400,27,35,4/12/2024,0.24,2,112,3
407381,3 minutes walk to Phrom Phong BTS,1463818,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3967,7,15,9/14/2022,0.11,1,83,0
413824,Central Oasis: Private & Light-filled EnSuite,1927968,Evan,Sathon,13.720548,100.54697,Entire home/apt,554,1,367,5/25/2024,2.62,49,362,27
428360,Big Studio ensuite private kitchen near to PK gym,2129668,Wimonpak,Yan na wa,13.69673,100.53202,Entire home/apt,918,1,35,3/4/2019,0.24,44,365,0
428421,2. Bangkok bright Apartment 201,2129668,Wimonpak,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,10/24/2018,0.27,44,364,0
428907,1.Bangkok great value Studio WIFI,2129668,Wimonpak,Bang Kho laen,13.69977,100.52652,Entire home/apt,882,180,17,11/27/2023,0.12,44,270,3
428950,BKK City Fab Luxx Studio free wifi @1194,2129668,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,750,1,131,4/28/2024,0.9,44,358,3
430691,5. Bangkok Bright Apartment -WIFI1194,2129668,Wimonpak,Bang Kho laen,13.70068,100.5228,Entire home/apt,850,1,29,4/16/2024,0.22,44,365,2
430703,"6. Bangkok nice, cosy Apartment 201 near to PK gym",2129668,Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,850,3,54,5/4/2024,0.38,44,336,3
430706,7. Bangkok big bright Apartment 402,2129668,Wimonpak,Bang Kho laen,13.70086,100.52276,Entire home/apt,1351,365,8,6/28/2013,0.06,44,365,0
432004,STUDIO-WIFI-RAIN SHOWER-SATHORN,2148220,Marvin,Sathon,13.71922,100.5255,Private room,1472,1,14,2/23/2017,0.1,4,177,0
449793,Ensuite Bright Studio-super WI-FI,2129668,Wimonpak,Bang Kho laen,13.70089,100.52388,Entire home/apt,780,1,13,11/1/2014,0.09,44,170,0
449826,Loft near Sathon/Silom - BTS SaphanTaksin,2129668,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,700,180,43,4/15/2023,0.3,44,364,0
450464,9. Bangkok Mini Stylish Studio 205,2129668,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,790,1,52,4/19/2024,0.44,44,351,7
580270,✴✴Colorful Room with Soaring Views in Center BKK✴✴,1927968,Evan,Sathon,13.720785,100.547241,Entire home/apt,587,1,116,4/15/2024,1,49,257,14
605314,☀ ☼Sky bedroom with a smooth life view☼☀,1927968,Evan,Sathon,13.720785,100.547241,Entire home/apt,850,1,456,6/8/2024,3.17,49,348,24
605343,✬Sweet Dreams in the Center of Bangkok@Sky House✬,1927968,Evan,Sathon,13.720785,100.547241,Entire home/apt,700,1,237,6/8/2024,1.69,49,362,9
608624,Big Jacuzzi+BTS/BRT+wifi 300mbps,2940438,Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,1350,14,5,2/16/2024,0.28,22,86,2
688013,1 BR Near BTS WIFI/POOL/FITNESS (B),1780407,Feb,Bang Na,13.67926,100.61655,Entire home/apt,808,29,149,4/30/2024,1.05,6,273,2
722291,"1 bedroom apartment, Center Bangkok",1810415,Egidio,Sathon,13.72109,100.53915,Entire home/apt,1065,300,35,6/17/2022,0.27,3,179,0
723070,"One Bed apartmentm,The Seed Mingle condo, Bangkok",3734436,Chok,Sathon,13.72075,100.53993,Entire home/apt,1653,21,2,12/5/2018,0.03,2,293,0
729015,NEW River Condo Center BTS temples,3785867,Julia,Khlong San,13.72077,100.51202,Entire home/apt,3501,360,36,4/30/2018,0.26,2,364,0
742693,Nice 1 Bed 5 mins walk Thonglor BTS,3888806,Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1837,2,1,12/22/2023,0.16,1,365,1
758483,Thong Lo Living: Stylish/Spacious 90 sqm Apartment,1774390,Add,Vadhana,13.73595,100.58375,Entire home/apt,2500,3,62,1/30/2020,0.44,2,241,0
